,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,0.06802558898925781,0.001807028854185141,0.012462854385375977,0.0002589267041911875,entropy,,3,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.9627419063121722,0.9771827603077882,0.9784965345654879,0.9787422890871168,0.9779342932287256,0.9750195567002582,0.006162206576049613,5
28,0.7793015480041504,0.03434585589279106,0.011989164352416991,0.0003114153863119677,entropy,,4,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.9661560706701008,0.9788404382735217,0.9803556383308945,0.9800088849400267,0.9797333333333333,0.9770188731095754,0.005454558528063762,2
29,0.06773171424865723,0.0027126951051541803,0.012500953674316407,0.00032393627627868345,entropy,,4,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.9622556118754526,0.9771989866216276,0.9761798951204338,0.9764234875444839,0.9763282014772626,0.9736772365278522,0.005721696309027337,11
30,0.6605905532836914,0.010802372556386702,0.011470746994018555,0.0002640983338759741,entropy,10,2,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'best'}",0.9496633536389869,0.9671226732451221,0.9665417438027725,0.9659967701417549,0.9649091236278566,0.9628467328912986,0.006631959744828862,16
31,0.04840884208679199,0.001257990337593952,0.011696052551269532,0.00021619275107398608,entropy,10,2,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.904244723737254,0.9264699356556468,0.9299501585863162,0.9281963056863456,0.9337371180618333,0.9245196483454791,0.010419656300582157,27
32,0.6706560134887696,0.016134383033105645,0.01142587661743164,0.00028370150349210323,entropy,10,3,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'best'}",0.949523635031147,0.9672498878420817,0.9665914221218962,0.9657709389439684,0.9648657159566333,0.9628003199791454,0.006686283129064173,17
33,0.04819965362548828,0.001126728468887409,0.011670637130737304,0.00021552530004166403,entropy,10,3,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'random'}",0.904244723737254,0.9264699356556468,0.9300049834639605,0.9298779104071165,0.9390045248868778,0.9259204156301711,0.011607557586631985,26
34,0.662174129486084,0.010838176249347882,0.011545419692993164,0.00036585907000882085,entropy,10,4,best,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'best'}",0.9494755164674087,0.9672064958952044,0.9666787068809826,0.9657709389439684,0.9648688767936665,0.962800106996246,0.006709845957877873,18
35,0.05165715217590332,0.0035425117223343216,0.01181635856628418,0.00019311802475269072,entropy,10,4,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'random'}",0.9176316159579955,0.9283486359442955,0.9300049834639605,0.9245508982035929,0.9157515671542258,0.923257540144814,0.0056764544628504065,29
36,0.5213852405548096,0.002568023776055786,0.011145305633544923,0.00026109555507621875,entropy,7,2,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.922999358327986,0.9421278518183873,0.9460915222016022,0.941989074985328,0.9424254797876684,0.9391266574241944,0.008205875316843643,19
37,0.04056615829467773,0.0007098916039358188,0.011411428451538086,0.00028847197819346806,entropy,7,2,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.8459049731928269,0.8647776353884854,0.8955558429242639,0.8940945933909326,0.8648417450812661,0.8730349579955551,0.01908950858901685,37
